1FDL_Name,1FDL_LON,1FDL_LAT,1FDL_RA,1FDL_DEC,1FDL_Flux1000,1FDL_68Conf_Radius,1FDL_95Conf_Radius,matched_DR2,DR2_Source_Name,DR2_GLON,DR2_GLAT,DR2_CLASS1,DR2_Flux1000,DR2_ASSOC1
1FDL J1923.0+1409,49.0970997704416,-0.414847558164929,290.766385152722,14.1505878384103,4.137994451509635e-08,0.027802538,0.045079667,True,4FGL J1923.2+1408e,49.1157989501953,-0.461601912975311,SNR,3.704373696677976e-08,W 51C
1FDL J0616.8+2233,189.019131735618,2.9409939578028,94.2071824378185,22.5613889074187,1.2938531872729635e-07,0.040463008,0.065607645,True,4FGL J0617.2+2234e,189.047653198242,3.03345084190369,SNR,5.600849206643944e-08,IC 443
1FDL J1635.9-4731,337.035440654883,-0.0848729140919074,248.996089777126,-47.5280376145617,2.229641914607344e-08,0.039568805,0.06415776,True,4FGL J1636.3-4731e,337.076843261719,-0.122873343527317,SNR,1.1220434359415776e-08,SNR G337.0-00.1
1FDL J1800.6-2352,6.06623182796445,-0.336192185134936,270.171647714531,-23.8820290320429,6.22520360100181e-09,0.096560910956417,0.156566071684332,True,4FGL J1759.7-2354,5.94540739059448,-0.167941257357597,,3.6377023615585805e-09,
1FDL J1856.3+0114,34.6030044830849,-0.531241544642574,284.09450115082,1.24482966878783,6.057419900343512e-08,0.07673081,0.12441309,True,4FGL J1855.9+0121e,34.6533584594727,-0.388004153966904,SNR,6.462779111870988e-08,W 44
1FDL J1801.5-2322,6.59978395364263,-0.264840231730634,270.392532886644,-23.3832187221616,4.366421009650515e-08,0.05403235,0.087609285,True,4FGL J1801.3-2326e,6.52657604217529,-0.251051634550095,SNR,2.8084572889497398e-08,W 28
1FDL J1843.5-0347,28.6484316244225,0.0259949306550668,280.880214717579,-3.79963871964423,1.522995709965825e-08,0.0766338710785252,0.124255916847967,True,4FGL J1844.4-0345,28.7940502166748,-0.166164040565491,PSR,8.435514509130826e-09,PSR J1844-0346
1FDL J1855.6+0141,34.9120424817164,-0.062344290200435,283.907193335453,1.68814081977504,7.59567573309479e-09,0.0940535220977982,0.152500519541219,True,4FGL J1854.7+0153,34.9980621337891,0.119989909231663,,4.916002716015555e-09,
1FDL J1745.3-2904,359.848158357975,-0.023764585347194,266.337673918912,-29.0781457821272,4.132120178088718e-08,0.02594162,0.042062335,True,4FGL J1745.6-2859,359.952514648438,-0.0389374345541,spp,5.1910099330143566e-08,Galactic Centre
1FDL J1639.4-4647,337.977624603186,-0.0267600506105926,249.860417834958,-46.7893224772736,1.005387682108972e-08,0.0711979567012419,0.115442002675644,True,4FGL J1638.5-4657c,337.760192871094,-0.0250708796083927,spp,6.1635603287868435e-09,SNR G337.8-00.1
1FDL J1839.1-0542,26.4599972406539,0.115994867260008,279.794797706363,-5.70421269777397,2.3018395934603715e-08,0.03832594,0.062142555,True,4FGL J1838.9-0537,26.5148296356201,0.199044287204742,PSR,1.613943112488414e-08,PSR J1838-0537
1FDL J1418.7-6058,313.329658533574,0.125893466485153,214.693736960205,-60.970408741636,3.297606329267912e-08,0.026787823,0.043434385,True,4FGL J1418.7-6057,313.330841064453,0.130788192152977,PSR,3.932625602942608e-08,PSR J1418-6058
1FDL J1805.7-2133,8.67343821954255,-0.209174301401658,271.443635089331,-21.5502648532434,1.960101567590671e-08,0.07537772,0.12221915,True,4FGL J1805.6-2136e,8.60377311706543,-0.210544422268868,SNR,8.273039142636662e-09,W 30
1FDL J2021.6+4029,78.2769059737919,2.09557507828938,305.406416231796,40.4922102762067,9.632101269474514e-08,0.0230923035,0.037442385,True,4FGL J2021.5+4026,78.228401184082,2.08178472518921,PSR,1.1255909981855441e-07,PSR J2021+4026
1FDL J1405.3-6119,311.683983027951,0.285016677128316,211.346344370765,-61.3238435900679,1.8592519943020476e-08,0.06755881,0.109541395,True,4FGL J1405.1-6119,311.659484863281,0.283607304096222,,9.656418775705332e-09,
1FDL J1745.9-2852,0.0893972500551496,-0.039640586444959,266.496823281706,-28.8804965311734,1.8300388942837618e-08,0.0308900235,0.05008579,True,4FGL J1746.4-2852,0.150241360068321,-0.115954145789146,pwn,1.5222072491383187e-08,PWN G0.13-0.11
1FDL J1640.4-4631,338.292285888727,0.016545553576317,250.11778459729,-46.5253462359696,1.8103486563035373e-08,0.051168865,0.08296637,True,4FGL J1641.0-4619,338.506530761719,0.0792637094855308,spp,6.935172880417895e-09,SNR G338.5+00.1
1FDL J1907.8+0602,40.1746675758456,-0.879548899780691,286.961876689768,6.03816972814199,3.3620666601175023e-08,0.023707362,0.0384396575,True,4FGL J1907.9+0602,40.1822891235352,-0.900932550430298,PSR,4.1119871951877946e-08,PSR J1907+0602
1FDL J1834.4-0844,23.2171634663898,-0.241841272460512,278.612921131278,-8.74881142603648,1.681433438738857e-08,0.069020325,0.11191112,True,4FGL J1834.5-0846e,23.2018013000488,-0.27995964884758,spp,9.454145022402828e-09,W 41
1FDL J2032.2+4126,80.2270675617112,1.0117918022772,308.074545835339,41.4498250070172,1.6465443764867014e-08,0.02572736,0.041714925,True,4FGL J2032.2+4127,80.229362487793,1.02414047718048,PSR,2.3086146327955248e-08,PSR J2032+4127
1FDL J1552.5-5611,326.228189699503,-1.73961896854044,238.129292486663,-56.1907875409316,1.6164850038077477e-08,0.03225291,0.05229561,True,4FGL J1552.9-5607e,326.318725585938,-1.73513329029083,SNR,5.961938498444397e-09,MSH 15-56
1FDL J1700.6-4236,343.596902170627,-0.242397583354433,255.159650737411,-42.6102930672152,4.7922333813513925e-09,0.11130337208785,0.18046980826884,True,4FGL J1700.2-4237c,343.538787841797,-0.197176605463028,,2.338383264799404e-09,
1FDL J1906.5+0721,41.2018935437157,0.0109027759743124,286.641549126951,7.35983789654094,1.4514829142021311e-08,0.0471731343738358,0.0764875897711609,True,4FGL J1906.4+0723,41.2222518920898,0.0550058186054229,PSR,9.874894679740011e-09,PSR J1906+0722
1FDL J1554.4-5320,328.263038628215,0.285164463718637,238.624674212321,-53.3346210009042,1.4355322447112946e-08,0.0997668011087066,0.161764171980339,True,4FGL J1553.8-5325e,328.127258300781,0.27877476811409,,1.943621086297753e-08,
